Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,c1,c2
3.930497106107393,5.869085858627796,10.99166092,18.861431306364928,33.737751482528864,32.6004718307325,37.18735455264888,30.87046323176996,34.01573422639339,53.02113233225701,50.088498345902416,10.728642788484455,0
5.789524382454427,12.112107440826678,16.61942134481088,24.131161736325435,26.752348312051183,32.17549126264033,34.78036809958335,44.50016511578719,46.63451732758983,44.66607282201959,65.50623475535049,-3.7487521782528495,0
4.890647846662637,9.348577809569411,13.592827747399824,19.084020944571805,26.203332669404794,28.28690983119634,31.22518162098624,29.82920658586803,28.50015913692257,56.03710084869852,40.925553286333205,2.931258190719128,0
4.821853088475068,8.919439658673893,16.991475901099484,21.66115661828741,24.11123980560741,32.9609958689669,40.4906446653442,33.60686400974856,64.2572040375537,32.44451128036274,50.66518661479523,-10.114961688020845,1
2.7356397452072,11.064498163077165,13.111076625879305,21.175152580024587,25.952398187099377,35.43836463945392,22.80354344062692,42.01820468611778,28.408849658140284,70.91750374918466,60.97095911867427,9.019329911678208,0
3.870140441255888,7.826485963349524,12.082648655440169,18.176786734878736,22.26072474877146,29.9232970276817,34.90256311813674,25.837241251774245,61.72856839066452,48.6805624568763,34.71246266662257,-8.355116207791038,0
6.148235390798523,8.82675818727482,9.289446496932117,17.466329477712925,20.982643879435848,40.33009785555736,27.7098281502226,54.94107937818662,38.67634834371589,54.441297780140296,55.75048242765208,0.1491859801796082,0
5.785259258072292,8.392914657266894,15.915087799118377,19.91139415443222,15.292741591046756,30.15623024475674,34.210292564215294,33.64537433778826,40.15740650488669,28.50913124743603,58.20539963238412,-9.547092804237176,1
4.596531441553674,10.44999722642766,12.032046321006163,16.880839926803723,30.358122036922254,28.48703779219458,26.274786993934487,31.778130103040745,55.17442387884912,58.70459196605905,44.567489033601184,6.623975606067472,0
5.653692980680048,7.378276056119773,14.59270724932736,16.02833382622021,22.63672246731487,32.628240545753144,27.70179540506402,49.42655376161825,48.01903037733388,48.57619384899469,47.25355000683207,4.428468465908368,0
5.28129021221007,8.63841312266625,15.881475409705534,16.574376993952637,30.62219380752462,33.280110304581484,46.93069322627399,40.59030808971552,44.73869598647062,50.79803777311786,48.10272051912322,-6.848003243983568,0
4.441067496854068,10.06784718124065,14.991483314052909,21.46150366763996,28.517150980780137,20.488503310383365,33.379908418830055,47.1030553572298,46.79070134354623,64.2375251831684,60.18547772125793,5.561319615859995,0
6.115113119177758,14.9015976268355,13.288237103113625,21.28287495893466,35.49307940601831,31.0642829041702,35.03757312727884,52.37781546614105,49.52632570290505,45.701990416710885,61.1740530046044,18.796015502154567,1
